Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
Eptatretus stoutii,Pacific hagfish,Myxiniformes (Hagfishes),US West Coast,West Coast,NA,NA,Not for IDW
Eualus macrophthalmus,Big eyed shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Genyonemus lineatus,White croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Gonatus onyx,Clawed armhook squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,Not for IDW
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Grimothea planipes,Pelagic red crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Heterozonias alternatus,Canonball sun star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Hippasteria californica,Californian spiny star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Hippasteria phrygiana,Arctic cushion star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Hippoglossina stomata,Bigmouth flounder,Pleuronectiformes (Flatfishes),US West Coast,West Coast,NA,NA,Not for IDW
Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Species Managed Under International Agreement - IPHC,NMFS/Rutgers IDW Interpolation
Histioteuthis heteropsis,NA,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,Not for IDW
Hydrolagus colliei,Spotted ratfish,Chimaeriformes (Chimaeras),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Icelinus filamentosus,Threadfin sculpin,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Liponema brevicorne,Tentacle shedding anemone,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lithodes couesi,Scarlet king crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Luidia foliolata,Gray sand star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lycenchelys crotalinus,Snakehead eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lycodes cortezianus,Bigfin eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lycodes diapterus,Black eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lycodes pacificus,Blackbelly eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Lyopsetta exilis,Slender sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Mediaster aequalis,Vermillion star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Merluccius productus,Pacific hake,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Metacarcinus magister,Dungeness crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Metridium farcimen,Giant plumose anemone,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Microgadus proximus,Pacific tomcod,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Microstomus bathybius,Deep-sea sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Molpadia intermedia,Sweet potato sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Myxoderma platyacanthum,NA,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Myxoderma sacculatum,Giant slimy star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Nearchaster (Nearchaster) aciculosus,Needle spined fragile star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Neptunea amianta,White neptune,Gastropoda (sea snails and slugs),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Nezumia liolepis,Smooth grenadier,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,NA,NA,Not for IDW
Nezumia stelgidolepis,California grenadier,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Octopoteuthis deletron,Octopus squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Octopus californicus,North pacific bigeye octopus,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,Not for IDW
Oncorhynchus tshawytscha,Chinook salmon,Salmoniformes (Salmons),US West Coast,West Coast,PFMC,Pacific Coast Salmon,NMFS/Rutgers IDW Interpolation
Ophiodon elongatus,Lingcod,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Ophiura sarsii,Notched brittle star,Ophiuroidea (brittle stars),US West Coast,West Coast,NA,NA,Not for IDW
Opisthoteuthis californiana,Flapjack octopus,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pandalus amplus,Deepwater bigeye,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Pandalus dispar,Sidestripe shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Pandalus jordani,Ocean shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pandalus platyceros,Spot shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pannychia moseleyi,Deep sea papillate cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,NA,NA,Not for IDW
Paralomis multispina,Many spine spider crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Parmaturus xaniurus,Filetail catshark,Elasmobranchii: Selachii (sharks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Parophrys vetulus,English sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Pasiphaea pacifica,Pacific glass shrimp,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pasiphaea tarda,Crimson pasiphaeid,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Peprilus simillimus,Pacific pompano,Scombriformes (Mackerels),US West Coast,West Coast,PFMC,Coastal Pelagic Species,Not for IDW
Periphylla periphylla,Merchant cap,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,Not for IDW
Pisaster brevispinus,Giant pink sea star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Platymera gaudichaudii,Armed box crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pleurobranchaea californica,NA,Gastropoda (sea snails and slugs),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pleuronichthys decurrens,Curlfin sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Pleuronichthys verticalis,Hornyhead turbot,Pleuronectiformes (Flatfishes),US West Coast,West Coast,NA,NA,Not for IDW
Porichthys notatus,Plainfin midshipman,Batrachoidiformes (Toadfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pseudarchaster parelii,Northern scarlet star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Pseudostichopus mollis,Sandy sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Pteraster jordani,Jordan's cushion star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Pycnopodia helianthoides,Sunflower sea star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Pyrosoma atlanticum,NA,"Tunicata (sea squirts, tunicates, salps)",US West Coast,West Coast,NA,NA,Not for IDW
Rathbunaster californicus,California sun star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Rossia pacifica,Eastern pacific bobtail,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,Not for IDW
Sagenaster evermanni,Evermann's star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Sardinops sagax,Pacific sardine,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,PFMC,Coastal Pelagic Species,Not for IDW
Scomber japonicus,Chub mackerel,Scombriformes (Mackerels),US West Coast,West Coast,PFMC,Coastal Pelagic Species,Not for IDW
Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes aurora,Aurora rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes babcocki,Redbanded rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes brevispinis,Silvergray rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,Not for IDW
Sebastes chlorostictus,Greenspotted rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes crameri,Darkblotched rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes diploproa,Splitnose rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes elongatus,Greenstriped rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes entomelas,Widow rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes flavidus,Yellowtail rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes goodei,Chilipepper rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes helvomaculatus,Rosethorn rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes jordani,Shortbelly rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes melanostomus,Blackgill rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,Not for IDW
Sebastes paucispinis,Bocaccio,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes pinniger,Canary rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes proriger,Redstripe rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes ruberrimus,Yelloweye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,Not for IDW
Sebastes saxicola,Stripetail rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes semicinctus,Halfbanded rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastes zacentrus,Sharpchin rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Sebastolobus altivelis,Longspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Squalus suckleyi,Pacific spiny dogfish,Elasmobranchii: Selachii (sharks),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Strongylocentrotus fragilis,Fragile sea urchin,"Echinoidea (sea urchins, sand dollars)",US West Coast,West Coast,NA,NA,Not for IDW
Stylasterias forreri,Velcro star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Tactostoma macropus,Longfin dragonfish,Stomiiformes (Lightfishes and dragonfishes),US West Coast,West Coast,NA,NA,Not for IDW
Talismania bifurcata,Threadfin slickhead,Alepocephaliformes (Slickheads and tubeshoulders.),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Tetronarce californica,Pacific electric ray,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,NA,NA,Not for IDW
Thaleichthys pacificus,Eulachon,"Osmeriformes (caplin, freshwater smelt)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Thetys vagina,Virgin salpa,"Tunicata (sea squirts, tunicates, salps)",US West Coast,West Coast,NA,NA,Not for IDW
Thrissacanthias penicillatus,NA,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Trachurus symmetricus,Jack mackerel,Carangiformes (Jacks),US West Coast,West Coast,PFMC,Coastal Pelagic Species,Not for IDW
Tritonia tetraquetra,Large orange peel nudibranch,Gastropoda (sea snails and slugs),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Vampyroteuthis infernalis,Vampire squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,NA,NA,Not for IDW
Xeneretmus latifrons,Blacktip poacher,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,NA,NA,Not for IDW
Zalembius rosaceus,Pink seaperch,"Ovalentaria (damselfish, sufperches)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Zaniolepis frenata,Shortspine combfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,Not for IDW
Zaniolepis latipinnis,Longspine combfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
