spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Prionotus evolans,Striped searobin,US East Coast,Southeast,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus longispinosus,Bigeye searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus ophryas,Bandtail searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus paralatus,Mexican searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus roseus,Bluespotted searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus rubio,Blackwing searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus rubio,Blackwing searobin,US East Coast,Southeast,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus scitulus,Leopard searobin,US East Coast,Southeast,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus stearnsi,Shortwing searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Prionotus tribulus,Bighead searobin,US East Coast,Southeast,Perciformes/Scorpaenoidei (Scorpionfishes),,
Pristipomoides aquilonaris,Wenchman,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Pristipomoides filamentosus,Opakapaka,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Pristipomoides sieboldii,Kalekale,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Pristipomoides zonatus,Gindai,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Pseudopleuronectes americanus,Winter flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,ASMFC,Northeast Multispecies
Pseudopleuronectes americanus,Winter flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,NEFMC,Northeast Multispecies
Pseudostichopus mollis,Sandy sea cucumber,US West Coast,West Coast,Holothuroidea (sea cucumbers),,
Pteraster militaris,Wrinkled sea star,Alaska,Aleutian Islands,Asteroidea (starfishes) ,,
Pteraster obscurus,Obscure cushion star,Alaska,Eastern Bering Sea,Asteroidea (starfishes) ,,
Pycnopodia helianthoides,Sunflower sea star,Alaska,Gulf of Alaska,Asteroidea (starfishes) ,,
Raninoides louisianensis,Gulf frog crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Rathbunaster californicus,California sun star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Reinhardtius hippoglossoides,Greenland halibut,Alaska,Eastern Bering Sea,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Renilla muelleri,Mueller's sea pansy,Gulf of Mexico,Gulf of Mexico,"Cnidaria (jellyfish, corals, anenomes) ",,
Rhinoptera bonasus,Cownose ray,US East Coast,Southeast,"Elasmobranchi:Batoidea (skates, rays) ",,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Gulf of Mexico,Gulf of Mexico,Elasmobranchi:Selachi (sharks),,
