"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"105","Sebastes borealis","Shortraker rockfish","Aleutian Islands","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"106","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Aleutian Islands","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"107","Sebastes polyspinis","Northern rockfish","Aleutian Islands","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"108","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Aleutian Islands","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"109","Sebastolobus alascanus","Shortspine thornyhead","Aleutian Islands","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"110","Solaster dawsoni","Morning sun star","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"111","Solaster sp. A (Clark 1997)",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"112","Stegophiura ponderosa",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"113","Stelodoryx oxeata","Scapula sponge","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"114","Stenobrachius leucopsarus","Northern lampfish","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"115","Strongylocentrotus droebachiensis","Green sea urchin","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"116","Strongylocentrotus polyacanthus",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"117","Styela rustica","Sea potato","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"118","Suberites ficus","Fig sponge","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"119","Synallactes challengeri","Challenger cucumber","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"120","Tedania (Tedania) kagalaskai",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"121","Triglops forficatus","Scissortail sculpin","Aleutian Islands","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
