"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"529","Sphoeroides dorsalis","Marbled puffer","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"530","Sphoeroides parvus","Least puffer","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"531","Sphoeroides spengleri","Bandtail puffer","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"532","Squilla chydaea","Offshore mantis shrimp","Gulf of Mexico","Stomatopoda (mantis shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"533","Squilla empusa","Mantis shrimp","Gulf of Mexico","Stomatopoda (mantis shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"534","Stellifer lanceolatus","Star drum","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"535","Stenocionops coelatus","Furcate spider crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"536","Stenocionops furcatus","Furcate spider crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"537","Stenorhynchus seticornis","Yellowline arrow crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"538","Stenorhynchus yangi","Red arrow crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"539","Stenotomus caprinus","Longspine porgy","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"540","Stephanolepis hispida","Planehead filefish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"541","Stylocidaris affinis","Pencil urchin","Gulf of Mexico","Echinoidea (sea urchins, sand dollars) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"542","Syacium gunteri","Shoal flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"543","Syacium papillosum","Dusky flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"544","Symphurus diomedeanus","Spottedfin tonguefish","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"545","Symphurus plagiusa","Blackcheek tonguefish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"546","Synodus foetens","Inshore lizardfish","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"547","Synodus intermedius","Sand diver","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"548","Synodus macrostigmus","Largespot lizardfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"549","Synodus poeyi","Offshore lizardfish","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"550","Trachinocephalus myops","Snakefish","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"551","Trachurus lathami","Rough scad","Gulf of Mexico","Carangiformes (Jacks)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"552","Trichiurus lepturus","Atlantic cutlassfish","Gulf of Mexico","Scombriformes (Mackerels)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"553","Trichopsetta ventralis","Sash flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"554","Upeneus parvus","Dwarf goatfish","Gulf of Mexico","Mulliformes (Goatfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"555","Urophycis cirrata","Gulf hake","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"556","Urophycis floridana","Southern hake","Gulf of Mexico","Gadiformes (Cods, genadiers, pollock) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"557","Xyrichtys novacula","Pearly razorfish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"558","Actinauge verrillii","Reticulate anemone","Gulf of Alaska","Cnidaria (jellyfish, corals, anenomes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"559","Albatrossia pectoralis","Giant grenadier","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"560","Anoplopoma fimbria","Sablefish","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"561","Aphrocallistes vastus","Cloud sponge","Gulf of Alaska","Porifera (sponges)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"562","Aphrodita negligens","Dishevelled sea-mouse","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"563","Atheresthes stomias","Arrowtooth flounder","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"564","Balticina willemoesi","Willemoes's white sea pen","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"565","Bathymaster signatus","Searcher","Gulf of Alaska","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"566","Bathyraja spp.","Skate complex","Gulf of Alaska","Elasmobranchi:Batoidea (skates, rays) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"567","Beringraja binoculata","Big skate","Gulf of Alaska","Elasmobranchi:Batoidea (skates, rays) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"568","Beringraja rhina","Longnose skate","Gulf of Alaska","Elasmobranchi:Batoidea (skates, rays) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"569","Berryteuthis magister","Magister armhook squid","Gulf of Alaska","Cephalopoda (squid, octopus)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"570","Brisaster latifrons","Northern heart urchin","Gulf of Alaska","Echinoidea (sea urchins, sand dollars) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"571","Ceramaster patagonicus","Cookie star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"572","Cheiraster (Luidiaster) dawsoni",NA,"Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"573","Chionoecetes bairdi","Tanner crab","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"574","Chlamys rubida","Reddish scallop","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"575","Chrysaora melanaster",NA,"Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"576","Clupea pallasii","Pacific herring","Gulf of Alaska","Clupeiformes (Herrings, anchovy, shad)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"577","Crossaster papposus","Common sunstar","Gulf of Alaska","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"578","Ctenodiscus crispatus","Mud star","Gulf of Alaska","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"579","Cyanea capillata","Lion's mane","Gulf of Alaska","Cnidaria (jellyfish, corals, anenomes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"580","Dasycottus setiger","Spinyhead sculpin","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"581","Dipsacaster borealis","Northern sand star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"582","Elassochirus cavimanus","Purple hermit","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"583","Elassochirus tenuimanus","Widehand hermit","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"584","Enteroctopus dofleini","North pacific giant octopus","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"585","Fusitriton oregonensis","Oregon triton","Gulf of Alaska","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"586","Gadus chalcogrammus","Walleye pollock","Gulf of Alaska","Gadiformes (Cods, genadiers, pollock) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"587","Gadus macrocephalus","Pacific cod","Gulf of Alaska","Gadiformes (Cods, genadiers, pollock) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"588","Glyptocephalus zachirus","Rex sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"589","Gorgonocephalus eucnemis","Basket star","Gulf of Alaska","Ophiuroidea (brittle stars)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"590","Halocynthia igaboja","Bristly tunicate","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"591","Hemilepidotus jordani","Yellow irish lord","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"592","Hemitripterus bolini","Bigmouth sculpin","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"593","Hexagrammos decagrammus","Kelp greenling","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"594","Hippoglossoides elassodon","Flathead sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"595","Hippoglossus stenolepis","Pacific halibut","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Species Managed Under International Agreement - IPHC","NMFS/Rutgers IDW Interpolation"
"596","Histodermella kagigunensis","Spud sponge","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"597","Hyas lyratus","Pacific lyre crab","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"598","Hydrolagus colliei","Spotted ratfish","Gulf of Alaska","Chimaeriformes (Chimaeras)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"599","Isopsetta isolepis","Butter sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"600","Laqueus erythraeus","California lamp shell","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"601","Lepidopsetta sp.","Rock soles","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"602","Lethasterias nanimensis","Black spined sea star","Gulf of Alaska","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"603","Limanda aspera","Yellowfin sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"604","Lycodes brevipes","Shortfin eelpout","Gulf of Alaska","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"605","Lycodes palearis","Wattled eelpout","Gulf of Alaska","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"606","Lyopsetta exilis","Slender sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"607","Malacocottus zonurus","Darkfin sculpin","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"608","Mallotus villosus","Capelin","Gulf of Alaska","Osmeriformes (caplin, freshwater smelt)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"609","Merluccius productus","Pacific hake","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"610","Metridium farcimen","Giant plumose anemone","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"611","Microstomus pacificus","Dover sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"612","Modiolus modiolus","Northern horsemussel","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"613","Mycale (Mycale) loveni","Loven's horny sponge","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"614","Myoxocephalus polyacanthocephalus","Great sculpin","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"615","Oncorhynchus keta","Chum salmon","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"616","Oncorhynchus tshawytscha","Chinook salmon","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"617","Ophiodon elongatus","Lingcod","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"618","Ophiopholis aculeata","Daisy brittle star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"619","Ophiura sarsii","Notched brittle star","Gulf of Alaska","Ophiuroidea (brittle stars)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"620","Oregonia gracilis","Graceful decorator crab","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"621","Orthasterias koehleri","Rainbow star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"622","Pagurus aleuticus","Aleutian hermit","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"623","Pagurus brandti","Sponge hermit","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"624","Pagurus capillatus","Hairy hermit crab","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"625","Pagurus confragosus","Knobbyhand hermit","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"626","Pagurus kennerlyi","Bluespine hermit","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"627","Pagurus ochotensis","Alaskan hermit crab","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"628","Pagurus trigonocheirus","Fuzzy hermit","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"629","Pandalus dispar","Sidestripe shrimp","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"630","Pandalus eous","Northern shrimp","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"631","Pandalus jordani","Ocean shrimp","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"632","Pandalus platyceros","Spot shrimp","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"633","Parophrys vetulus","English sole","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"634","Pasiphaea pacifica","Pacific glass shrimp","Gulf of Alaska","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"635","Phacellophora camtschatica","Fried egg jellyfish","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"636","Platichthys stellatus","Starry flounder","Gulf of Alaska","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"637","Pleurogrammus monopterygius","Atka mackerel","Gulf of Alaska","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"638","Pleuronectes quadrituberculatus","Alaska plaice","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"639","Podothecus accipenserinus","Sturgeon poacher","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"640","Pseudarchaster parelii","Northern scarlet star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"641","Pseudostichopus mollis","Sandy sea cucumber","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"642","Pteraster tesselatus","Tesselated slime star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"643","Pycnopodia helianthoides","Sunflower sea star","Gulf of Alaska","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"644","Rocinela angustata","Sea cockroach","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"645","Rossia pacifica","Eastern pacific bobtail","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"646","Sebastes alutus","Pacific ocean perch","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"647","Sebastes babcocki","Redbanded rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"648","Sebastes borealis","Shortraker rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"649","Sebastes brevispinis","Silvergray rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"650","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"651","Sebastes polyspinis","Northern rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"652","Sebastes proriger","Redstripe rockfish","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"653","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"654","Sebastes variegatus","Harlequin rockfish","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"655","Sebastes zacentrus","Sharpchin rockfish","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"656","Sebastolobus alascanus","Shortspine thornyhead","Gulf of Alaska","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"657","Squalus suckleyi","Pacific spiny dogfish","Gulf of Alaska","Elasmobranchi:Selachi (sharks)","Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"658","Stegophiura ponderosa",NA,"Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"659","Stenobrachius leucopsarus","Northern lampfish","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"660","Strongylocentrotus droebachiensis","Green sea urchin","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"661","Strongylocentrotus fragilis","Fragile sea urchin","Gulf of Alaska","Echinoidea (sea urchins, sand dollars) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"662","Strongylocentrotus pallidus","Pale urchin","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"663","Strongylocentrotus polyacanthus",NA,"Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"664","Styela rustica","Sea potato","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"665","Stylasterias forreri","Velcro star","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"666","Suberites domuncula","Sea orange","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"667","Suberites ficus","Fig sponge","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"668","Synallactes challengeri","Challenger cucumber","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"669","Terebratalia transversa","Common lamp shell","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"670","Thaleichthys pacificus","Eulachon","Gulf of Alaska","Osmeriformes (caplin, freshwater smelt)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"671","Zaprora silenus","Prowfish","Gulf of Alaska",NA,NA,NA,NA,"Not for IDW"
"672","Alosa aestivalis","Blueback herring","Northeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"673","Alosa pseudoharengus","Alewife","Northeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"674","Alosa sapidissima","American shad","Northeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"675","Amblyraja radiata","Thorny skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"676","Ammodytes dubius","Northern sand lance","Northeast",NA,NA,NA,NA,"Not for IDW"
"677","Anarhichas lupus","Atlantic wolffish","Northeast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"678","Anchoa hepsetus","Striped anchovy","Northeast",NA,NA,NA,NA,"Not for IDW"
"679","Anchoa mitchilli","Bay anchovy","Northeast",NA,NA,NA,NA,"Not for IDW"
"680","Antigonia capros","Deepbody boarfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"681","Aspidophoroides monopterygius","Alligatorfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"682","Atlantopandalus propinqvus","Similar shrimp","Northeast",NA,NA,NA,NA,"Not for IDW"
"683","Bathypolypus arcticus","North atlantic octopus","Northeast",NA,NA,NA,NA,"Not for IDW"
"684","Bathytoshia centroura","Roughtail stingray","Northeast",NA,NA,NA,NA,"Not for IDW"
"685","Brosme brosme","Cusk","Northeast",NA,NA,NA,NA,"Not for IDW"
"686","Cancer borealis","Jonah crab","Northeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"687","Cancer irroratus","Atlantic rock crab","Northeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"688","Caranx crysos","Blue runner","Northeast",NA,NA,NA,NA,"Not for IDW"
"689","Centropristis striata","Black sea bass","Northeast","Perciformes/Serranoidei (Groupers)","US East Coast","ASMFC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"690","Centropristis striata","Black sea bass","Northeast","Perciformes/Serranoidei (Groupers)","US East Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"691","Chaceon quinquedens","Red deepsea crab","Northeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","NEFMC","Deep-sea red crab","NMFS/Rutgers IDW Interpolation"
"692","Chlorophthalmus agassizi","Shortnose greeneye","Northeast",NA,NA,NA,NA,"Not for IDW"
"693","Citharichthys arctifrons","Gulf stream flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"694","Clupea harengus","Atlantic herring","Northeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"695","Clupea harengus","Atlantic herring","Northeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","NEFMC","Atlantic Herring","NMFS/Rutgers IDW Interpolation"
"696","Cryptacanthodes maculatus","Wrymouth","Northeast",NA,NA,NA,NA,"Not for IDW"
"697","Cynoscion regalis","Weakfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"698","Decapterus punctatus","Round scad","Northeast",NA,NA,NA,NA,"Not for IDW"
"699","Dichelopandalus leptocerus","Bristled longbeak","Northeast",NA,NA,NA,NA,"Not for IDW"
"700","Dipturus laevis","Barndoor skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"701","Doryteuthis pealeii","Longfin inshore squid","Northeast","Cephalopoda (squid, octopus)","US East Coast","MAFMC","Mackerel, Squid and Butterfish","NMFS/Rutgers IDW Interpolation"
"702","Enchelyopus cimbrius","Fourbeard rockling","Northeast",NA,NA,NA,NA,"Not for IDW"
"703","Etrumeus sadina","Round herring","Northeast",NA,NA,NA,NA,"Not for IDW"
"704","Gadus morhua","Atlantic cod","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"705","Glyptocephalus cynoglossus","Witch flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"706","Helicolenus dactylopterus","Blackbelly rosefish","Northeast",NA,NA,NA,NA,"Not for IDW"
"707","Hemitripterus americanus","Sea raven","Northeast","Perciformes/Cottoidei (sculpins)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"708","Hippoglossina oblonga","American fourspot flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"709","Hippoglossoides platessoides","American plaice","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"710","Hippoglossus hippoglossus","Atlantic halibut","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"711","Homarus americanus","American lobster","Northeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"712","Hypanus say","Bluntnose stingray","Northeast",NA,NA,NA,NA,"Not for IDW"
"713","Illex illecebrosus","Northern shortfin squid","Northeast","Cephalopoda (squid, octopus)","US East Coast","MAFMC","Mackerel, Squid and Butterfish","NMFS/Rutgers IDW Interpolation"
"714","Larimus fasciatus","Banded drum","Northeast",NA,NA,NA,NA,"Not for IDW"
"715","Leiostomus xanthurus","Spot","Northeast",NA,NA,NA,NA,"Not for IDW"
"716","Lepophidium profundorum","Fawn cusk-eel","Northeast","Ophidiiformes (Cusk eels) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
