region,spp,common,remove
West Coast Triennial,Asterozoa spp.,Sea stars,TRUE
West Coast Triennial,Brachiopoda spp.,Brachiopods,TRUE
West Coast Triennial,Corallimorphus,,TRUE
West Coast Triennial,Cottidae spp.,Sculpins,TRUE
West Coast Triennial,Decapodiformes spp.,Squids,TRUE
West Coast Triennial,Echinacea spp.,Sea urchin,TRUE
West Coast Triennial,Gastropoda spp.,Gastropods,TRUE
West Coast Triennial,Holothuroidea spp.,Sea cucumbers,TRUE
West Coast Triennial,Macrouridae,,TRUE
West Coast Triennial,Myctophidae spp.,Lanternfishes,TRUE
West Coast Triennial,Nudibranchia spp.,Nudibranchs,TRUE
West Coast Triennial,Octopodidae spp.,Octopuses,TRUE
West Coast Triennial,Paguridae spp.,Right-handed hermit crabs,TRUE
West Coast Triennial,Pennatulacea spp.,Sea panzies,TRUE
West Coast Triennial,Porifera spp.,Sponges,TRUE
West Coast Triennial,Scyphozoa spp.,Jellyfishes,TRUE
West Coast Triennial,Sebastes spp.,Rockfishes,TRUE
West Coast Triennial,Solaster spp.,Sea stars,TRUE
West Coast Triennial,Thaliacea spp.,Pelagic tunicates,TRUE
