taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common 
Sebastes rastrelliger,rastrelliger,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes rastrelliger,Grass rockfish
Argyropelecus affinis,affinis,Argyropelecus,Sternoptychidae,Stomiiformes,Actinopterygii,NA,NA,NA,NA,Argyropelecus affinis,Pacific hatchet fish
Sternoptyx diaphana,diaphana,Sternoptyx,Sternoptychidae,Stomiiformes,Actinopterygii,NA,NA,NA,NA,Sternoptyx diaphana,Diaphanous hatchet fish
Lycodapus endemoscotus,endemoscotus,Lycodapus,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycodapus endemoscotus,Deepwater slipskin
Sebastes rosenblatti,rosenblatti,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes rosenblatti,Greenblotched rockfish
Sebastes constellatus,constellatus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes constellatus,Starry rockfish
Hyperprosopon anale,anale,Hyperprosopon,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hyperprosopon anale,Spotfin surfperch
Oxylebius pictus,pictus,Oxylebius,Hexagrammidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Oxylebius pictus,Painted greenling
Bathophilus flemingi,flemingi,Bathophilus,Stomiidae,Stomiiformes,Actinopterygii,NA,NA,NA,NA,Bathophilus flemingi,Highfin dragonfish
Physiculus rastrelliger,rastrelliger,Physiculus,Moridae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Physiculus rastrelliger,Hundred fathom mora
Sebastes rosaceus,rosaceus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes rosaceus,Rosy rockfish
Pleuronichthys ritteri,ritteri,Pleuronichthys,Pleuronectidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Pleuronichthys ritteri,Spotted turbot
Sebastes carnatus,carnatus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes carnatus,Gopher rockfish
Nemichthys scolopaceus,scolopaceus,Nemichthys,Nemichthyidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Nemichthys scolopaceus,Slender snipe eel
Macropinna microstoma,microstoma,Macropinna,Opisthoproctidae,Osmeriformes,Actinopterygii,NA,NA,NA,NA,Macropinna microstoma,Barreleye
Amphistichus rhodoterus,rhodoterus,Amphistichus,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Amphistichus rhodoterus,Redtail surfperch
Amphistichus argenteus,argenteus,Amphistichus,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Amphistichus argenteus,Barred surfperch
Phanerodon furcatus,furcatus,Phanerodon,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Phanerodon furcatus,White seaperch
Clinocottus acuticeps,acuticeps,Clinocottus,Cottidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Clinocottus acuticeps,Sharpnose sculpin
Brosmophycis marginata,marginata,Brosmophycis,Bythitidae,Ophidiiformes,Actinopterygii,NA,NA,NA,NA,Brosmophycis marginata,Red brotula
Lyconema barbatum,barbatum,Lyconema,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lyconema barbatum,Bearded eelpout
Stomias atriventer,atriventer,Stomias,Stomiidae,Stomiiformes,Actinopterygii,NA,NA,NA,NA,Stomias atriventer,Black-belly dragonfish
Chaenophryne longiceps,longiceps,Chaenophryne,Oneirodidae,Lophiiformes,Actinopterygii,NA,NA,NA,NA,Chaenophryne longiceps,Can-opener smoothdream
Liparis fucensis,fucensis,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Liparis fucensis,Slipskin snailfish
Agonopsis sterletus,sterletus,Agonopsis,Agonidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Agonopsis sterletus,Southern spearnose poacher
Cheilotrema saturnum,saturnum,Cheilotrema,Sciaenidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Cheilotrema saturnum,Black croaker
Sebastes ensifer,ensifer,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Sebastes ensifer,Swordspine rockfish
Parmaturus xaniurus,xaniurus,Parmaturus,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,NA,NA,NA,NA,Parmaturus xaniurus,Filetail catshark
Embiotoca lateralis,lateralis,Embiotoca,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Embiotoca lateralis,Striped seaperch
Pleuronichthys coenosus,coenosus,Pleuronichthys,Pleuronectidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Pleuronichthys coenosus,C-o sole
Rhacochilus toxotes,toxotes,Rhacochilus,Embiotocidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Rhacochilus toxotes,Rubberlip seaperch
Myliobatis californica,californica,Myliobatis,Myliobatidae,Myliobatiformes,Elasmobranchii,NA,NA,NA,NA,Myliobatis californica,Bat eagle ray
Lestidiops ringens,ringens,Lestidiops,Paralepididae,Aulopiformes,Actinopterygii,NA,NA,NA,NA,Lestidiops ringens,Slender barracudina
Lampetra ayresii,ayresii,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,NA,NA,NA,NA,Lampetra ayresii,Western river lamprey
Tetragonurus cuvieri,cuvieri,Tetragonurus,Tetragonuridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Tetragonurus cuvieri,Smalleye squaretail
Hippoglossina stomata,stomata,Hippoglossina,Paralichthyidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Hippoglossina stomata,Bigmouth flounder
Talismania bifurcata,bifurcata,Talismania,Alepocephalidae,Osmeriformes,Actinopterygii,NA,NA,NA,NA,Talismania bifurcata,Threadfin slickhead
MUSTELUS SINUSMEXICANUS,sinusmexicanus,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,NA,NA,NA,NA,Mustelus sinusmexicanus,Gulf smoothhound
HOPLUNNIS TENUIS,tenuis,Hoplunnis,Nettastomatidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Hoplunnis tenuis,Spotted pike-conger
POLYDACTYLUS OCTONEMUS,octonemus,Polydactylus,Polynemidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Polydactylus octonemus,Atlantic threadfin
SERRANICULUS PUMILIO,pumilio,Serraniculus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Serraniculus pumilio,Pygmy sea bass
GOBIONELLUS OCEANICUS,oceanicus,Gobionellus,Gobiidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Gobionellus oceanicus,Highfin goby
HIRUNDICHTHYS RONDELETII,rondeletii,Hirundichthys,Exocoetidae,Beloniformes,Actinopterygii,NA,NA,NA,NA,Hirundichthys rondeletii,Black wing flyingfish
PAREXOCOETUS BRACHYPTERUS,brachypterus,Parexocoetus,Exocoetidae,Beloniformes,Actinopterygii,NA,NA,NA,NA,Parexocoetus brachypterus,Sailfin flyingfish
ECHIOPHIS PUNCTIFER,punctifer,Echiophis,Ophichthidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Echiophis punctifer,Stippled spoon-nose eel
RHINOPTERA BRASILIENSIS,brasiliensis,Rhinoptera,Myliobatidae,Myliobatiformes,Elasmobranchii,NA,NA,NA,NA,Rhinoptera brasiliensis,Brazilian cownose ray
OPHICHTHUS REX,rex,Ophichthus,Ophichthidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Ophichthus rex,King snake eel
GYMNOTHORAX KOLPOS,kolpos,Gymnothorax,Muraenidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Gymnothorax kolpos,Blacktail moray
MULLOIDICHTHYS MARTINICUS,martinicus,Mulloidichthys,Mullidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Mulloidichthys martinicus,Yellow goatfish
STEPHANOLEPIS SETIFER,setifer,Stephanolepis,Monacanthidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Stephanolepis setifer,Pygmy filefish
BOLLMANNIA BOQUERONENSIS,boqueronensis,Bollmannia,Gobiidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Bollmannia boqueronensis,White-eye goby
APOGON MACULATUS,maculatus,Apogon,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Apogon maculatus,Flamefish
ETELIS OCULATUS,oculatus,Etelis,Lutjanidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Etelis oculatus,Queen snapper
CHILOMYCTERUS ANTENNATUS,antennatus,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Chilomycterus antennatus,Bridled burrfish
PROGNICHTHYS GIBBIFRONS,gibbifrons,Prognichthys,Exocoetidae,Beloniformes,Actinopterygii,NA,NA,NA,NA,Prognichthys gibbifrons,Bluntnose flyingfish
CALAMUS CALAMUS,calamus,Calamus,Sparidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Calamus calamus,Saucereye porgy
CALAMUS BAJONADO,bajonado,Calamus,Sparidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Calamus bajonado,Jolthead porgy
EPIGONUS MACROPS,macrops,Epigonus,Epigonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Epigonus macrops,Luminous deepsea cardinalfish
BREVOORTIA GUNTERI,gunteri,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,NA,NA,NA,NA,Brevoortia gunteri,Finescale menhaden
BREGMACEROS CANTORI,cantori,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Bregmaceros cantori,Striped codlet
PHAEOPTYX CONKLINI,conklini,Phaeoptyx,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Phaeoptyx conklini,Freckled cardinalfish
DIODON HOLOCANTHUS,holocanthus,Diodon,Diodontidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Diodon holocanthus,Longspined porcupinefish
HEMANTHIAS LEPTUS,leptus,Hemanthias,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hemanthias leptus,Longtail bass
LIOPROPOMA EUKRINES,eukrines,Liopropoma,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Liopropoma eukrines,Wrasse bass
HYPORTHODUS FLAVOLIMBATUS,flavolimbatus,Hyporthodus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hyporthodus flavolimbatus,Yellowedge grouper
CITHARICHTHYS DINOCEROS,dinoceros,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Citharichthys dinoceros,Spined whiff
PTEROIS VOLITANS,volitans,Pterois,Scorpaenidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Pterois volitans,Red lionfish
ACANTHURUS CHIRURGUS,chirurgus,Acanthurus,Acanthuridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Acanthurus chirurgus,Doctorfish
MICROSPATHODON CHRYSURUS,chrysurus,Microspathodon,Pomacentridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Microspathodon chrysurus,Yellowtail damselfish
OXYPORHAMPHUS MICROPTERUS,micropterus,Oxyporhamphus,Hemiramphidae,Beloniformes,Actinopterygii,NA,NA,NA,NA,Oxyporhamphus micropterus,Bigwing halfbeak
DECAPTERUS TABL,tabl,Decapterus,Carangidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Decapterus tabl,Roughear scad
PHAEOPTYX PIGMENTARIA,pigmentaria,Phaeoptyx,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Phaeoptyx pigmentaria,Dusky cardinalfish
HYPOPLECTRUS UNICOLOR,unicolor,Hypoplectrus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hypoplectrus unicolor,Butter hamlet
APSILUS DENTATUS,dentatus,Apsilus,Lutjanidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Apsilus dentatus,Black snapper
CHAENOPSIS OCELLATA,ocellata,Chaenopsis,Chaenopsidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Chaenopsis ocellata,Bluethroat pikeblenny
OGCOCEPHALUS RADIATUS,radiatus,Ogcocephalus,Ogcocephalidae,Lophiiformes,Actinopterygii,NA,NA,NA,NA,Ogcocephalus radiatus,Polka-dot batfish
BELLATOR EGRETTA,egretta,Bellator,Triglidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Bellator egretta,Streamer searobin
HYPORTHODUS NIVEATUS,niveatus,Hyporthodus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hyporthodus niveatus,Snowy grouper
HIPPOCAMPUS ZOSTERAE,zosterae,Hippocampus,Syngnathidae,Syngnathiformes,Actinopterygii,NA,NA,NA,NA,Hippocampus zosterae,Dwarf seahorse
CHILOMYCTERUS ANTILLARUM,antillarum,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Chilomycterus antillarum,Web burrfish
SYNGNATHUS PELAGICUS,pelagicus,Syngnathus,Syngnathidae,Syngnathiformes,Actinopterygii,NA,NA,NA,NA,Syngnathus pelagicus,Sargassum pipefish
POMACANTHUS PARU,paru,Pomacanthus,Pomacanthidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Pomacanthus paru,French angelfish
ASTRAPOGON PUNCTICULATUS,puncticulatus,Astrapogon,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Astrapogon puncticulatus,Blackfin cardinalfish
SCOMBER COLIAS,colias,Scomber,Scombridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Scomber colias,Atlantic chub mackerel
RHYNCHOCONGER FLAVUS,flavus,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Rhynchoconger flavus,Yellow conger
MUSTELUS NORRISI,norrisi,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,NA,NA,NA,NA,Mustelus norrisi,Narrowfin smooth-hound
LOPHIODES RETICULATUS,reticulatus,Lophiodes,Lophiidae,Lophiiformes,Actinopterygii,NA,NA,NA,NA,Lophiodes reticulatus,Reticulated goosefish
UROCONGER SYRINGINUS,syringinus,Uroconger,Congridae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Uroconger syringinus,Threadtail conger
CITHARICHTHYS GYMNORHINUS,gymnorhinus,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Citharichthys gymnorhinus,Anglefin whiff
HALICHOERES BATHYPHILUS,bathyphilus,Halichoeres,Labridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Halichoeres bathyphilus,Greenband wrasse
CALAMUS PENNA,penna,Calamus,Sparidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Calamus penna,Sheepshead porgy
GYMNACHIRUS NUDUS,nudus,Gymnachirus,Achiridae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Gymnachirus nudus,Naked sole
BODIANUS PULCHELLUS,pulchellus,Bodianus,Labridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Bodianus pulchellus,Spotfin hogfish
PRONOTOGRAMMUS MARTINICENSIS,martinicensis,Pronotogrammus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Pronotogrammus martinicensis,Roughtongue bass
OPHIDION ANTIPHOLUS,antipholus,Ophidion,Ophidiidae,Ophidiiformes,Actinopterygii,NA,NA,NA,NA,Ophidion antipholus,Longnose cusk-eel
CHROMIS SCOTTI,scotti,Chromis,Pomacentridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Chromis scotti,Purple reeffish
EUCINOSTOMUS MELANOPTERUS,melanopterus,Eucinostomus,Gerreidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Eucinostomus melanopterus,Flagfin mojarra
HIPPOCAMPUS REIDI,reidi,Hippocampus,Syngnathidae,Syngnathiformes,Actinopterygii,NA,NA,NA,NA,Hippocampus reidi,Longsnout seahorse
GNATHOPHIS BRACHEATOPOS,bracheatopos,Gnathophis,Congridae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Gnathophis bracheatopos,Longeye conger
CRYPTOTOMUS ROSEUS,roseus,Cryptotomus,Scaridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Cryptotomus roseus,Bluelip parrotfish
HAEMULON STRIATUM,striatum,Haemulon,Haemulidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Haemulon striatum,Striped grunt
GNATHOLEPIS THOMPSONI,thompsoni,Gnatholepis,Gobiidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Gnatholepis thompsoni,Goldspot goby
PHTHEIRICHTHYS LINEATUS,lineatus,Phtheirichthys,Echeneidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Phtheirichthys lineatus,Slender suckerfish
ALOSA CHRYSOCHLORIS,chrysochloris,Alosa,Clupeidae,Clupeiformes,Actinopterygii,NA,NA,NA,NA,Alosa chrysochloris,Skipjack shad
ECHIODON DAWSONI,dawsoni,Echiodon,Carapidae,Ophidiiformes,Actinopterygii,NA,NA,NA,NA,Echiodon dawsoni,Chain pearlfish
EMBLEMARIA PIRATULA,piratula,Emblemaria,Chaenopsidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Emblemaria piratula,Pirate blenny
CALAMUS ARCTIFRONS,arctifrons,Calamus,Sparidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Calamus arctifrons,Grass porgy
ODONTOSCION DENTEX,dentex,Odontoscion,Sciaenidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Odontoscion dentex,Reef croaker
PHAEOPTYX XENUS,xenus,Phaeoptyx,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Phaeoptyx xenus,Sponge cardinalfish
HYPOPLECTRUS PUELLA,puella,Hypoplectrus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hypoplectrus puella,Barred hamlet
APOGON QUADRISQUAMATUS,quadrisquamatus,Apogon,Apogonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Apogon quadrisquamatus,Sawcheek cardinalfish
PARACLINUS MARMORATUS,marmoratus,Paraclinus,Labrisomidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Paraclinus marmoratus,Marbled blenny
CANTHIGASTER JAMESTYLERI,jamestyleri,Canthigaster,Tetraodontidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Canthigaster jamestyleri,Goldface toby
RHYNCHOCONGER GRACILIOR,gracilior,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Rhynchoconger gracilior,Whiptail conger
HOLOCENTRUS ADSCENSIONIS,adscensionis,Holocentrus,Holocentridae,Beryciformes,Actinopterygii,NA,NA,NA,NA,Holocentrus adscensionis,Squirrelfish
SYMPHURUS MINOR,minor,Symphurus,Cynoglossidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Symphurus minor,Largescale tonguefish
MURAENA RETIFERA,retifera,Muraena,Muraenidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Muraena retifera,Reticulate moray
HYPLEUROCHILUS BERMUDENSIS,bermudensis,Hypleurochilus,Blenniidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hypleurochilus bermudensis,Barred blenny
OCYURUS CHRYSURUS,chrysurus,Ocyurus,Lutjanidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Ocyurus chrysurus,Yellowtail snapper
LUTJANUS VIVANUS,vivanus,Lutjanus,Lutjanidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lutjanus vivanus,Silk snapper
SCORPAENA PLUMIERI,plumieri,Scorpaena,Scorpaenidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Scorpaena plumieri,Spotted scorpionfish
SAURIDA CARIBBAEA,caribbaea,Saurida,Synodontidae,Aulopiformes,Actinopterygii,NA,NA,NA,NA,Saurida caribbaea,Smallscale lizardfish
SAURENCHELYS COGNITA,cognita,Saurenchelys,Nettastomatidae,Anguilliformes,Actinopterygii,NA,NA,NA,NA,Saurenchelys cognita,Longface eel
ANCHOA CUBANA,cubana,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,NA,NA,NA,NA,Anchoa cubana,Cuban anchovy
DIPLOGRAMMUS PAUCIRADIATUS,pauciradiatus,Diplogrammus,Callionymidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Diplogrammus pauciradiatus,Spotted dragonet
CEPHALOPHOLIS CRUENTATA,cruentata,Cephalopholis,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Cephalopholis cruentata,Graysby
EPINEPHELUS DRUMMONDHAYI,drummondhayi,Epinephelus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Epinephelus drummondhayi,Speckled hind
EMBLEMARIA ATLANTICA,atlantica,Emblemaria,Chaenopsidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Emblemaria atlantica,Banner blenny
BEMBROPS ANATIROSTRIS,anatirostris,Bembrops,Percophidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Bembrops anatirostris,Duckbill flathead
CORYPHOPTERUS PUNCTIPECTOPHORUS,punctipectophorus,Coryphopterus,Gobiidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Coryphopterus punctipectophorus,Spotted goby
RYPTICUS SUBBIFRENATUS,subbifrenatus,Rypticus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Rypticus subbifrenatus,Spotted soapfish
ANTENNARIUS MULTIOCELLATUS,multiocellatus,Antennarius,Antennariidae,Lophiiformes,Actinopterygii,NA,NA,NA,NA,Antennarius multiocellatus,Longlure frogfish
CANTHERHINES PULLUS,pullus,Cantherhines,Monacanthidae,Tetraodontiformes,Actinopterygii,NA,NA,NA,NA,Cantherhines pullus,Orangespotted filefish
DOROSOMA CEPEDIANUM,cepedianum,Dorosoma,Clupeidae,Clupeiformes,Actinopterygii,NA,NA,NA,NA,Dorosoma cepedianum,American gizzard shad
EPINEPHELUS ITAJARA,itajara,Epinephelus,Serranidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Epinephelus itajara,Atlantic goliath grouper
XYRICHTYS NOVACULA,novacula,Xyrichtys,Labridae,Perciformes,Actinopterygii,NA,NA,NA,NA,Xyrichtys novacula,Pearly razorfish
NARCINE BANCROFTII,bancroftii,Narcine,Narcinidae,Torpediniformes,Elasmobranchii,NA,NA,NA,NA,Narcine bancroftii,Lesser electric ray
Artediellus uncinatus,uncinatus,Artediellus,Cottidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Artediellus uncinatus,Arctic hookear sculpin
Cottunculus microps,microps,Cottunculus,Psychrolutidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Cottunculus microps,Polar sculpin
Dipturus laevis,laevis,Dipturus,Rajidae,Rajiformes,Elasmobranchii,NA,NA,NA,NA,Dipturus laevis,Barndoor skate
Enchelyopus cimbrius,cimbrius,Enchelyopus,Lotidae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Enchelyopus cimbrius,Fourbeard rockling
Eumicrotremus spinosus,spinosus,Eumicrotremus,Cyclopteridae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Eumicrotremus spinosus,Atlantic spiny lumpsucker
Lumpenus lampretaeformis,lampretaeformis,Lumpenus,Stichaeidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lumpenus lampretaeformis,Snakeblenny
Pholis gunnellus,gunnellus,Pholis,Pholidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Pholis gunnellus,Rock gunnel
Triglops murrayi,murrayi,Triglops,Cottidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Triglops murrayi,Moustache sculpin
Anarhichas denticulatus,denticulatus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Anarhichas denticulatus,Northern wolffish
Lycenchelys verrillii,verrillii,Lycenchelys,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycenchelys verrillii,Wolf eelpout
Maurolicus muelleri,muelleri,Maurolicus,Sternoptychidae,Stomiiformes,Actinopterygii,NA,NA,NA,NA,Maurolicus muelleri,Silvery lightfish
Gadus ogac,ogac,Gadus,Gadidae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Gadus ogac,Greenland cod
Liparis fabricii,fabricii,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Liparis fabricii,Gelatinous snailfish
Lycodes reticulatus,reticulatus,Lycodes,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycodes reticulatus,Arctic eelpout
Microgadus tomcod,tomcod,Microgadus,Gadidae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Microgadus tomcod,Atlantic tomcod
Lycodes esmarkii,esmarkii,Lycodes,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycodes esmarkii,Greater eelpout
Anarhichas minor,minor,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Anarhichas minor,Spotted wolffish
Citharichthys arctifrons,arctifrons,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,NA,NA,NA,NA,Citharichthys arctifrons,Gulf stream flounder
Dibranchus atlanticus,atlanticus,Dibranchus,Ogcocephalidae,Lophiiformes,Actinopterygii,NA,NA,NA,NA,Dibranchus atlanticus,Atlantic batfish
Hyperoglyphe perciformis,perciformis,Hyperoglyphe,Centrolophidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Hyperoglyphe perciformis,Barrelfish
Liparis liparis,liparis,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Liparis liparis,Striped seasnail
Polymixia nobilis,nobilis,Polymixia,Polymixiidae,Polymixiiformes,Actinopterygii,NA,NA,NA,NA,Polymixia nobilis,Stout beardfish
Trachyrincus murrayi,murrayi,Trachyrincus,Macrouridae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Trachyrincus murrayi,Roughnose grenadier
Ulvaria subbifurcata,subbifurcata,Ulvaria,Stichaeidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Ulvaria subbifurcata,Radiated shanny
Bathyraja spinicauda,spinicauda,Bathyraja,Arhynchobatidae,Rajiformes,Elasmobranchii,NA,NA,NA,NA,Bathyraja spinicauda,Spinytail skate
Peristedion miniatum,miniatum,Peristedion,Peristediidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Peristedion miniatum,Armored searobin
Gaidropsarus ensis,ensis,Gaidropsarus,Lotidae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Gaidropsarus ensis,Threadfin rockling
Arctozenus risso,risso,Arctozenus,Paralepididae,Aulopiformes,Actinopterygii,NA,NA,NA,NA,Arctozenus risso,Spotted barracudina
Coryphaenoides rupestris,rupestris,Coryphaenoides,Macrouridae,Gadiformes,Actinopterygii,NA,NA,NA,NA,Coryphaenoides rupestris,Roundnose grenadier
Epigonus denticulatus,denticulatus,Epigonus,Epigonidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Epigonus denticulatus,Pencil cardinal
Lycodes lavalaei,lavalaei,Lycodes,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycodes lavalaei,Newfoundland eelpout
Careproctus longipinnis,longipinnis,Careproctus,Liparidae,Scorpaeniformes,Actinopterygii,NA,NA,NA,NA,Careproctus longipinnis,Longfin snailfish
Lycenchelys paxillus,paxillus,Lycenchelys,Zoarcidae,Perciformes,Actinopterygii,NA,NA,NA,NA,Lycenchelys paxillus,Common wolf eel
